Date,Species,Location,GPS,Bag#,ID,Time,TailSignal,FlapsFlared,Sex,SVL,tail tip length,Tail,HW,HL,HH,right flap height,right flap length,Mass,Bodytemp,DorsalTemp,BellyTemp,Biteforce1,BF2,BF3,BF4,Bodytemp2,Bodytemp2trials,DNA,Tag#,Notes
9/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,90,75,1147,no,yes,f,75,25,80,19.69,21.5,14.1,6.73,9.17,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,noosed: flap-flare-gape-bite.
9/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,76,74,1350,no,yes,jf,62,21,65,16.11,19.32,11.3,7.26,9.37,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"noosed: flap-flare-gape-bite. Kept it for 10 taps, for 5 mins"
10/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,70,81,1256,n/a,n/a,m,76,28,80,19.18,21.47,12.35,5.72,6.18,19.1,23.1,21.7,21.3,16.5,22,21,NA,NA,NA,,,
10/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,90,78,1130,no,no,jf,59,26,66,16.36,17.48,10.72,5.69,7.75,8.5,33.1,33.7,33.6,7.1,13.9,NA,NA,NA,NA,,,"noosed:no flap flare, no gape, tried to bite, same during 10 taps"
10/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,19,79,1140,no,yes,fj,59,25,66,16.09,17.67,11.01,6.04,7.47,8.6,22.4,23.7,23.6,17.5,11.9,18.3,NA,NA,NA,,,noosed: flap-flare-gape-bite. Kept it for 10 taps
10/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,21,80,1143,no,no,fj,49,19,53,13.63,13.14,9.24,4.55,6.19,4.6,NA,32.8,32.7,1.6,1.9,2.9,NA,NA,NA,,,"noosed:no flap flare, no gape, same during 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,62,90,1542,no,no,jf,61,22,61,15.78,18.56,11.01,6.11,9.15,9.6,29.6,27.9,27.7,8,8.5,NA,NA,NA,NA,,,"ran into 2 bushes and around them, noosed: no gape, no flap flare, no bite, after 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,5,82,1200,no,yes,m,71,26,74,18.22,20.52,12.1,8.03,7.98,16.1,29.4,29.6,30,NA,NA,NA,NA,NA,NA,,,"did not bite, not recorded; ran to bush, partially buried, ran around, dug in with head 60% exposed, noosed; gape-flare-bite, even after 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,19,84,1240,no,yes,fj,60,20,61,16.02,17.55,10.2,7.41,8.11,7.9,28.6,29.1,32.7,9.3,5.9,8.5,NA,NA,NA,,,noosed; flare-gape-bite; continued after 10 taps
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,76,92,1655,no,yes,f,73,23,74,17.94,21.25,12.4,7.36,8.77,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"did not want to bite, no bite force; noosed: flap-flare-gape, continued for 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,90,86,1405,no,yes,j,58,22,61,14.76,17.78,10.71,5.34,7.13,8.3,28.2,30.2,30.1,8,11.3,12.3,NA,NA,NA,,,"ran into bush, out, noosed: flap-flare-gape-bite, continued after 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,21,83,1243,no,yes,f,69,23,71,18.93,22.42,13.62,6.94,8.43,14.1,26,27.4,25.7,10.8,17.9,12.9,NA,NA,NA,,,"next to grass clump, noosed: gape-flare-bite, continued after 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,97,88,1352,no,yes,m,73,30,80,18.4,20.7,13.3,6.7,7,17,28.5,29.4,29.5,17.8,22.8,20.9,NA,NA,NA,,,"noosed: flap-flare-gape-bite, very aggressive, continued after 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,14,93,1722,no,yes,f,66,24,68,17.21,18.63,12.36,6.87,7.13,12.4,27,27.8,27.3,11.4,12.4,16.8,NA,NA,NA,,,noosed; flare-gape-bite; continued after 10 taps
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,7,87,1439,no,yes,jf,59,20,62,15.88,18.08,11.07,5.69,6.97,10,27.6,29.1,29.4,15.1,13.1,13.4,NA,NA,NA,,,"flap-flare-gape-bite, continued with 10 taps, ca. 50 cm from burrow (noosed)"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,37,85,1310,no,yes,f,64,23,60,18.11,19.88,12.97,8.45,8.64,14.6,28.1,28.2,28.2,23.4,12.9,20.8,NA,NA,NA,,,"lots of short runs into bushes; noosed: flap flare-gape-bite, continued after 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,4,89,1440,no,yes,f,73,27,74,18.98,20.93,13.16,7.65,8.71,17.5,27.4,27.5,27.6,10.3,10.8,20,NA,NA,NA,,,"noosed: flap-flare-gape-bite, very aggressive, continued after 10 taps"
12/7/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,94,91,1551,n/a,n/a,m,73,27,77,18.47,19.36,12.14,5.73,7.19,14.9,27.7,30.4,30.2,11,NA,NA,NA,NA,NA,,,
